"country","popu","totAlcohol","totLiteracy"
"Afghanistan",28038305.6478405,700957.641196013,801895541.528239
"Albania",1530495.0166113,10690507.6910299,148662082.613511
"Algeria",23736578.0730897,19582676.910299,1520723435.21595
"Angola",27240465.1162791,149413951.162791,1876868046.51163
"Antigua and Barbuda",58429.9003322259,449618.083056478,5784560.13289037
"Argentina",22730847.1760797,219920946.428571,2188412311.87708
"Armenia",1637548.17275748,20469352.1594684,162553948.615725
"Azerbaijan",5104322.25913621,60996650.9966777,507369632.55814
"Bahrain",658614.617940199,2585062.37541528,55142508.8870432
"Bangladesh",87617607.9734219,14894993.3554817,3717177018.27243
"Belarus",6485581.39534884,110254883.72093,642288744.186046
"Belize",204672.757475083,1227013.18106312,14388494.8504983
"Benin",9835970.09966777,20803076.7607973,263603998.671096
"Bhutan",477601.328903654,260292.724252492,25217350.166113
"Bolivia",6922229.2358804,37726149.3355482,579736698.504983
"Bosnia and Herzegovina",2293664.45182724,22053583.7043189,223288234.385382
"Botswana",1365707.64119601,10195007.5415282,106934908.305648
"Brazil",97499734.2192691,1080947053.37763,8530007997.5083
"Brunei",186161.129568106,360221.785714286,16465951.910299
"Bulgaria",4947109.6345515,58870604.6511628,486053521.594684
"Burkina Faso",15375813.9534884,109937069.767442,279814187.596899
"Burundi",9312993.35548173,89032216.4784053,480084807.475083
"Cambodia",8679136.21262459,41139105.6478405,634444857.142857
"Cameroon",19901029.9003322,153934466.27907,1251774780.7309
"Cape Verde",330476.411960133,1642467.76744186,25083159.6677741
"Central African Republic",4638295.68106312,15120843.9202658,184372253.322259
"Chad",13902790.6976744,60963737.2093023,348612476.744186
"Chile",9401727.57475083,83957427.2425249,899369259.800665
"Colombia",23239833.8870432,148270140.199336,2130627970.76412
"Comoros",486795.016611296,155774.405315615,31138654.5625692
"Congo, Dem. Rep.",84087508.3056478,281272715.282392,5398418033.22259
"Costa Rica",2237673.42192691,12709985.0365449,211683905.714286
"Cote d'Ivoire",19382159.4684385,125499482.55814,853299570.598007
"Croatia",2937009.96677741,44202000,287631176.079734
"Cuba",5654063.12292359,30051345.4983389,560506124.252492
"Cyprus",670784.053156146,6070595.68106312,64820099.0033223
"Dominican Republic",5182050.83056478,32880112.5199336,443479910.079734
"Ecuador",8687388.70431894,78794615.5481728,762752728.239203
"Egypt",62043787.3754153,21405106.6445183,3731490640.72141
"El Salvador",3076950.16611296,11692410.6312292,251474741.433317
"Equatorial Guinea",990764.119601329,6043661.12956811,90407225.9136213
"Eritrea",2460142.85714286,3911627.14285714,149330671.428571
"Estonia",958478.405315615,13897936.8770764,95624195.5703212
"Eswatini",681866.112956811,3665030.35714286,49776226.2458472
"Ethiopia",83513289.0365448,339063953.488372,2749675041.52824
"Gabon",1472654.48504983,13828225.6146179,120266782.945736
"Gambia",1679970.09966777,5854695.79734219,73834685.8803987
"Georgia",2835913.62126246,18518515.9468439,282740588.039867
"Ghana",19886445.1827243,60454793.3554817,1286653003.32226
"Greece",6624485.04983389,75739945.7364341,623364043.189369
"Guatemala",9242920.26578073,51436851.2790698,644539639.86711
"Guinea",9146132.89036545,7088252.99003322,230482548.837209
"Guinea-Bissau",1363551.49501661,5167860.16611296,53042153.1561462
"Guyana",492571.428571429,4482400,41868571.4285714
"Haiti",6305817.27574751,39505945.2325581,298685544.96124
"Honduras",5200408.63787375,23167820.4817276,433584070.182724
"Hungary",7716445.18272425,120633759.689922,763735161.960133
"Indonesia",137311627.906977,78954186.0465116,11942188438.5382
"Iran",40486877.076412,41499049.0033223,2804222323.50498
"Iraq",27279734.2192691,11866684.3853821,2080079734.21927
"Israel",5006734.2192691,13543216.0631229,459618201.328904
"Italy",40559800.6644518,414115564.784053,3973508471.7608
"Jamaica",1392993.35548173,7083371.21262458,116245295.51495
"Jordan",5103750.83056478,3470550.56478405,449470323.145072
"Kazakhstan",12347740.8637874,136442536.54485,1221191571.42857
"Kenya",31210564.7840532,125154364.784053,2409455601.3289
"Kuwait",1731556.47840532,173155.647840532,141598031.021595
