indice_tiempo,total_argentina,capital_federal,buenos_aires,catamarca,cordoba,corrientes,chaco,chubut,entre_rios,formosa,jujuy,la_pampa,la_rioja,mendoza,misiones,neuquen,rio_negro,salta,san_juan,san_luis,santa_cruz,santa_fe,santiago_del_estero,tucuman,tierra_del_fuego
1914-01-01,287318,50631,78077,2993,28695,10886,1187,1317,15616,492,2626,3527,2004,12501,2361,1075,1402,5083,4893,3694,323,34330,10199,13376,30
1915-01-01,283176,45480,76316,2884,28862,10132,1460,1316,16209,658,2613,5152,2059,12821,2261,1102,1817,5279,5224,3893,401,33341,9869,13998,29
1916-01-01,287293,43961,77067,3490,29243,10238,1724,1571,16132,839,2655,5995,1959,12551,2334,946,1403,5157,5246,4516,397,34880,10389,14585,15
1917-01-01,277487,43166,74032,3301,27389,10437,3094,1334,15684,758,2778,4368,1795,12185,2366,1175,1668,5547,5201,4307,349,34268,9426,12836,23
1918-01-01,275876,40937,72651,3114,27987,9534,3369,1412,16244,786,2788,4587,1951,12281,2486,1227,1748,5275,5484,4510,369,35536,9094,12482,24
1919-01-01,277173,40258,72879,2964,29520,9687,3311,1355,16988,755,2690,4373,2076,12484,2371,1178,1663,5215,5624,4339,339,34125,9916,13040,23
1920-01-01,279085,41412,72259,2866,29469,10248,3651,1496,17288,1168,2758,3782,2000,12430,3092,1052,1776,5019,5472,4243,362,34370,9404,13435,33
1921-01-01,290344,41455,73952,2804,30729,9843,4080,1642,17593,1282,3009,4098,2165,13024,3394,1155,1932,5373,5869,4460,397,35889,10965,15198,36
1922-01-01,300544,42960,76676,2934,31719,11233,4299,1694,18041,1303,3061,4169,2191,13745,3518,1191,1973,5342,6127,4222,391,36142,11167,16409,37
1923-01-01,315801,43767,78190,2812,34147,10659,4169,1608,18347,1237,3212,3904,2395,13837,3339,1113,1837,6031,6677,4730,371,44440,11896,17048,35
1924-01-01,318778,45598,79557,3104,35069,10906,4963,1877,19511,1418,3262,4734,2191,14278,3900,1293,2127,6227,6921,4611,438,38035,12311,16405,42
1925-01-01,318446,45887,78645,3242,33286,10887,5146,1896,19442,1417,3682,4479,2229,13566,3937,1292,2125,6997,7058,5109,437,37062,12656,17928,41
1926-01-01,321136,45555,78763,3118,34866,11143,5295,1912,19924,1428,3757,4475,2261,13406,3970,1302,2100,7046,6716,5316,420,37531,13001,17789,42
1927-01-01,326542,46177,77924,3184,35091,10804,6144,2208,20440,1608,3716,5040,2294,14350,4560,1464,2377,7117,7535,5627,480,37311,13359,17684,48
1928-01-01,336471,47412,79853,3496,37452,11567,6531,2293,21262,1645,3991,5135,2327,14807,4736,1521,2418,7298,7334,5369,499,37477,13721,18277,50
1929-01-01,339308,46893,78953,3461,38735,11870,6810,2287,21802,1633,4050,5101,2361,14808,4749,1508,2412,7670,8022,5224,477,37309,14087,19036,50
1930-01-01,341983,47845,78167,3393,37643,12008,7595,2597,21922,1835,4049,5703,2395,15045,5393,1694,2710,7611,7712,5426,536,37585,14463,18599,57
1931-01-01,338282,46851,76209,3774,36717,12259,7764,2569,22069,1787,4277,5530,2430,14206,5306,1648,2625,8551,7981,5861,530,36802,13405,19075,56
1932-01-01,340390,44693,73904,3647,36205,12321,8023,2636,22172,1805,4307,5702,2485,14190,5444,1662,2636,8542,9159,5539,545,39719,14891,20106,57
1933-01-01,321800,40685,69860,3671,33791,11982,7297,2303,21510,1995,4178,4776,2511,13622,5688,2148,3108,8485,7688,5557,502,36016,15166,19198,63
1934-01-01,319674,40112,68790,3766,33733,12811,8069,2376,21592,2154,4589,4400,2075,14132,5703,2178,3103,8654,7493,5281,458,32251,15827,20066,61
1935-01-01,322020,41424,68702,3926,34550,12741,8669,2418,22086,2325,4562,4521,2470,14141,6111,2127,3181,8846,6947,5602,482,31164,14167,20806,52
1936-01-01,320170,40070,67082,3618,34395,12607,9020,2352,21139,2146,4664,4430,2369,13611,6015,2312,3314,8592,8644,5400,504,32823,16584,18435,44
1937-01-01,320875,40321,66277,3907,34740,13429,9193,2525,21396,2246,4800,4311,2489,13627,6351,2333,3185,9077,7491,5423,511,33581,14125,19493,44
1938-01-01,325869,42893,67084,3710,34232,13498,8914,2735,21748,2465,5324,4030,2167,14122,6647,2437,3343,8803,7943,5423,520,33981,14342,19456,52
1939-01-01,328972,43592,67432,3941,33548,13418,10264,2652,21708,2609,5480,3948,2299,14348,6588,2546,3401,8995,8127,5333,589,31390,16160,20537,67
1940-01-01,340672,45633,67717,4233,34818,14000,11624,2910,22515,3470,5773,4061,2361,14640,7320,2730,3859,8964,7928,5397,611,32947,16575,20528,58
1941-01-01,341186,45412,66174,4388,34805,13996,11328,2916,22085,3353,6045,4339,2644,14953,7165,2740,3883,9549,8071,5275,601,30745,19693,20965,61
1942-01-01,340634,46657,66438,4649,34429,13358,12121,3189,21352,3512,6345,4488,2299,15022,8957,3153,4011,10072,8208,5177,586,29998,15959,20596,58
1943-01-01,360131,50739,68412,4865,35289,14604,13439,3263,22866,3657,6295,4456,2813,15504,7236,3147,4182,10123,8733,5626,500,32988,19334,22009,51
1944-01-01,380950,54860,75197,4827,37474,16290,13563,3156,27199,3945,6135,4620,3311,16847,7896,3262,4202,10901,8541,5104,650,33537,18062,21295,76
1945-01-01,388191,57380,77299,5415,38846,16671,13228,3745,23624,3901,6435,4761,3318,17242,8462,3511,4531,10878,9361,4994,438,33742,18605,21723,81
1946-01-01,386599,56055,75704,5131,38529,16795,12817,3556,23094,3829,6466,4509,3418,16667,8638,3372,4538,10804,9374,5336,477,33468,21218,22705,99
1947-01-01,398468,56631,75966,4872,39750,16678,15076,3635,23962,4681,6609,4519,3533,17966,9543,3542,4652,11911,9305,5137,478,33624,22439,23852,107
1948-01-01,413132,59519,79260,5449,40232,16969,15363,3897,24530,4950,7098,4429,3617,18624,9758,3471,4814,12354,10108,5522,463,35158,23258,24156,133
